0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:23 +0700] "GET /inventory-management/index HTTP/1.1" 200 9431
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:23 +0700] "GET /inventory-management/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:23 +0700] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:26 +0700] "GET /inventory-management/product-info/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:26 +0700] "GET /inventory-management/product-info/list/1 HTTP/1.1" 200 18624
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:26 +0700] "GET /inventory-management/product-info/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:26 +0700] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:32 +0700] "GET /inventory-management/product-info/view/7 HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:32 +0700] "GET /inventory-management/product-info/view/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:38 +0700] "POST /inventory-management/product-info/list/2 HTTP/1.1" 200 16231
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:38 +0700] "GET /inventory-management/product-info/list/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:35:38 +0700] "GET /inventory-management/upload/1615822377797_iphone-12promax.jpg HTTP/1.1" 304 -
